Step,"field=3,degree=1",,,"field=3,degree=2",,,"field=3,degree=3",,,"field=3,degree=4",,,"field=3,degree=5",,,"field=3,degree=6",,
206,1.162606239,,,1.000110388,,,0.728207409,,,0.678174853,,,0.591485918,,,0.452420086,,
207,1.301370978,,,1.135271549,,,1.007134318,,,0.975406349,,,0.936827838,,,0.89780283,,
208,1.416397333,,,1.284520507,,,1.142738581,,,1.445254564,,,1.174448848,,,1.182180047,,
209,1.619784355,,,1.416480541,,,1.284070253,,,1.354614139,,,1.268702745,,,1.380419374,,
210,1.47168386,,,1.566637278,,,1.370064855,,,1.378228426,,,1.240867257,,,1.577881575,,
211,1.627646327,,,1.520529747,,,1.319081187,,,1.287932277,,,1.332300186,,,1.363130569,,
212,1.621054769,,,1.868467331,,,1.810487866,,,1.60076344,,,1.810366511,,,1.651486635,,
213,2.225097418,,,2.180500984,,,2.213220119,,,2.471043348,,,2.298986673,,,2.198673248,,
214,2.819249153,,,2.687084198,,,2.822424889,,,2.909965992,,,2.861746073,,,2.758398056,,
215,2.924880505,,,2.654212713,,,2.775279999,,,2.417115211,,,3.221097946,,,2.610482931,,
216,2.149095058,,,1.813761353,,,2.510136843,,,2.399223089,,,2.338731766,,,2.569765568,,
217,2.142068863,,,1.664335966,,,1.507223725,,,1.597057104,,,1.575872421,,,1.780724645,,
218,1.983856678,,,1.937692404,,,2.039370298,,,2.076686144,,,1.936716795,,,2.068099022,,
219,1.936467409,,,1.794229269,,,1.82669425,,,1.562110901,,,1.85222435,,,1.881076336,,
220,1.791225791,,,1.891083002,,,1.89029789,,,1.680790901,,,1.922322154,,,2.114554882,,
221,1.823615074,,,1.654382229,,,1.361124158,,,1.49691987,,,1.586128712,,,1.41968441,,
222,1.281912088,,,1.388250232,,,1.219803452,,,1.107411861,,,0.982620716,,,0.895164669,,
223,1.413915157,,,1.317997694,,,1.410530329,,,1.21662426,,,1.343547702,,,1.267546058,,
224,1.542796135,,,1.453669786,,,1.529486418,,,1.549114227,,,1.459248185,,,1.518996119,,
225,1.312972903,,,1.241398931,,,1.372622252,,,1.409935832,,,1.327353001,,,1.3778615,,
226,1.292852998,,,1.136985779,,,1.080515623,,,1.025220394,,,0.941818476,,,0.998486519,,
227,1.039050341,,,0.939134717,,,0.759985805,,,0.72622782,,,0.535311818,,,0.492387712,,
228,1.279518008,,,0.942707062,,,0.890072763,,,0.739302158,,,0.905914307,,,0.778044879,,
229,1.317444086,,,0.867660284,,,0.946131706,,,0.750715733,,,0.906496286,,,0.890441239,,
230,1.124843836,,,0.818123698,,,0.865107298,,,0.748914123,,,0.804077327,,,0.666347504,,
231,1.156549096,,,0.695028007,,,0.706157565,,,0.540604711,,,0.655324221,,,0.411306679,,
232,0.925283551,,,0.420880854,,,0.409195006,,,0.240727156,,,0.250499338,,,0,,
233,1.055727124,,,0.658628225,,,0.732680559,,,0.502301514,,,0.483596951,,,0.376540542,,
234,1.056826234,,,0.861177087,,,0.688886285,,,0.649866045,,,0.645605445,,,0.572214961,,
235,1.201517463,,,0.778485179,,,0.72831285,,,0.75298655,,,0.761745095,,,0.86861074,,
236,1.138093114,,,0.844714284,,,0.76694417,,,0.772880614,,,0.734142065,,,0.783686101,,
237,1.187546372,,,0.930503488,,,0.719430268,,,0.718244791,,,0.587387681,,,0.557435155,,
238,1.282796979,,,0.983054876,,,0.988603234,,,0.998651922,,,0.813739061,,,0.879091263,,
239,1.434364796,,,1.407403469,,,1.292000532,,,1.506864548,,,1.335459828,,,1.411186218,,
240,1.594411135,,,1.66257143,,,1.69079566,,,1.658994079,,,1.594346285,,,1.866004944,,
241,1.647227168,,,1.656763077,,,1.486257553,,,1.531328917,,,1.498405337,,,1.625439405,,
242,1.410041809,,,1.665052176,,,1.544927716,,,1.278051496,,,1.22835958,,,1.325227976,,
243,1.798365474,,,1.785309792,,,1.769386768,,,1.458962917,,,1.832912207,,,1.741181612,,
244,1.822831869,,,1.842818737,,,1.906348705,,,1.839702368,,,1.925009251,,,2.447603703,,
245,2.064248085,,,2.082601786,,,2.196330309,,,2.40352726,,,2.553101778,,,2.611617565,,
246,2.084874392,,,1.999239445,,,2.116209984,,,2.380254507,,,2.480867147,,,2.538683414,,
247,2.2432971,,,1.808781624,,,2.118300438,,,1.660575986,,,1.788057804,,,2.026114941,,
248,2.009109974,,,1.704916596,,,1.70477736,,,1.416688681,,,1.441699028,,,1.52772367,,
249,2.148038626,,,1.617733479,,,1.830182314,,,1.624779582,,,1.813635826,,,2.116645098,,
250,1.968557835,,,1.785317659,,,1.561621308,,,2.09796834,,,2.54476738,,,2.921113968,,
251,1.752786636,,,1.771274805,,,1.832881451,,,1.611822367,,,1.747200966,,,2.007692814,,
252,1.464153171,,,1.455717921,,,1.61107111,,,1.487561941,,,1.663528204,,,1.443592787,,
253,1.301934004,,,1.227538228,,,1.242230773,,,0.895557165,,,1.066295624,,,0.826072454,,
254,1.374662995,,,1.365056753,,,1.278935313,,,1.105900049,,,1.100315571,,,1.102498174,,
255,1.396171331,,,1.193874002,,,1.143285155,,,1.152555943,,,1.168219447,,,1.377175331,,
256,1.289922118,,,1.239357948,,,1.327749252,,,1.141582966,,,1.265260816,,,1.317109823,,
257,1.245081782,,,0.986397743,,,0.879833996,,,1.0135957,,,0.846524596,,,0.809475422,,
258,1.039559603,,,0.738661766,,,0.6086092,,,0.678496838,,,0.408853829,,,0.424273878,,
259,1.078178406,,,0.748112321,,,0.641725898,,,0.743145347,,,0.726648211,,,0.722643197,,
260,1.013607979,,,0.680655718,,,0.679869652,,,0.639599741,,,0.698238432,,,0.680251002,,
261,1.02073276,,,0.729898453,,,0.779580534,,,0.596804142,,,0.671402693,,,0.646339774,,
262,1.043672919,,,0.594282269,,,0.70304513,,,0.553680778,,,0.52683413,,,0.395064473,,
263,0.924417913,,,0.421938002,,,0.480530977,,,0.281267315,,,0.265547872,,,0,,
264,1.147873044,,,0.685281277,,,0.748538077,,,0.552030206,,,0.61725688,,,0.418880045,,
265,1.158992171,,,0.764158785,,,0.766368151,,,0.667548895,,,0.700841188,,,0.591749668,,
266,1.276767731,,,0.845347524,,,0.951190114,,,0.909303665,,,0.922363937,,,0.856190085,,
267,1.162968874,,,0.882307351,,,0.862750888,,,0.827838778,,,0.79949069,,,0.784260392,,
268,1.139061451,,,0.964441538,,,0.796426356,,,0.80176568,,,0.644707203,,,0.560274482,,
269,1.26644206,,,1.099994421,,,1.054543376,,,1.180278063,,,0.938620865,,,1.118033171,,
